Name,Sachmerkmal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Einkommen
Wahren,Einwohner insgesamt,5884,5822,5949,5872,5895,5792,5858,5936,5906,5976,5940,5981,6212,6536,6691,6745,6981,7070,7132,7122,7247,7275
Lützschena-Stahmeln,Einwohner insgesamt,3919,3990,4040,4051,4052,4095,4102,4067,4051,4017,3982,3947,3952,3945,3914,3944,3915,4026,4115,4168,4212,4209
Lindenthal,Einwohner insgesamt,5874,5858,5851,5743,5770,5692,5753,5791,5840,6008,6113,6167,6244,6293,6334,6430,6514,6578,6613,6635,6660,6674
Gohlis-Süd,Einwohner insgesamt,11890,12602,13166,13420,13773,14240,14653,14928,15408,15988,16185,16683,16938,17394,17838,17963,18268,18603,18647,18761,18770,18750
Gohlis-Mitte,Einwohner insgesamt,12276,12438,12675,13020,13164,13222,13463,13543,13798,13957,14240,14689,15198,15638,15819,15937,16390,16935,17115,17275,17393,17543
Gohlis-Nord,Einwohner insgesamt,8414,8245,8185,8182,8164,8071,8036,7936,7987,8013,8167,8236,8213,8379,8556,8703,8911,9115,9330,9607,9761,10128
Eutritzsch,Einwohner insgesamt,10558,10538,10402,10670,10771,10711,10876,10891,11099,11578,11637,11957,12296,12572,13079,13896,14383,14550,14723,14641,14701,14761
Seehausen,Einwohner insgesamt,2189,2175,2189,2172,2182,2172,2173,2177,2126,2168,2171,2187,2189,2238,2232,2516,2288,2345,2389,2447,2529,2622
Wiederitzsch,Einwohner insgesamt,7061,7220,7434,7612,7765,7999,8097,8084,8181,8174,8207,8254,8375,8422,8467,8490,8551,8578,8670,8689,8724,8780
Mitte,Einwohner insgesamt,40986,42444,43305,44353,44615,46071,48097,49562,50811,51714,52297,54034,55865,57383,59150,62182,62648,64529,65140,65683,65912,67339
Nordost,Einwohner insgesamt,44073,43024,42619,42272,41982,41679,41309,41186,40989,41122,41676,42217,42740,43316,43938,45332,46452,46982,47325,47580,48227,48663
Ost,Einwohner insgesamt,68784,68266,68495,68891,69084,69567,69899,69666,69607,69574,69430,70120,71612,73172,75887,79338,81998,83632,84439,85086,85519,85989
Südost,Einwohner insgesamt,47768,48188,48754,49370,49712,50090,50641,51139,51734,51612,51936,53160,54488,55470,56675,58128,59147,60566,61602,62190,62506,62813
Süd,Einwohner insgesamt,52078,52833,53678,54241,54393,55187,56429,57434,58636,59485,59904,61306,62275,63269,64129,65200,65507,66114,66705,66962,67079,66996
Südwest,Einwohner insgesamt,39875,40549,41390,42293,43113,43980,45179,45886,46966,47322,48086,49062,50020,51213,52076,52971,53830,54727,55152,55658,55742,56010
West,Einwohner insgesamt,62617,59426,56970,54943,53671,52995,52291,51276,50415,49579,48865,48655,48753,48940,49683,50493,52460,53070,53440,53862,54190,54877
Alt-West,Einwohner insgesamt,42903,43112,43660,44571,45097,45450,45732,46009,46424,46908,47502,48692,50354,51993,53967,55698,56877,57927,58444,59183,59643,59553
Nordwest,Einwohner insgesamt,27945,27967,28103,27790,27880,27646,27834,28036,28190,28355,28392,28579,29223,29946,30374,30996,31812,32646,33395,34039,34710,35045
Nord,Einwohner insgesamt,52388,53218,54051,55076,55819,56415,57298,57559,58599,59878,60607,62006,63209,64643,65991,67505,68791,70126,70874,71420,71878,72584
