Jahr;Gebiet;Sachmerkmal;Nettoeinkommen
2013;Alt-West,Persoenliches Einkommen,1060;"35697905217""";1222,83736578639
2013;Nordwest,Persoenliches Einkommen,1006;"9258674381""";1319,64840442718
2013;Nord,Persoenliches Einkommen,1201;"27377553616""";1397,79938034385
2013;Stadt Leipzig,Persoenliches Einkommen,1066;"01430298254""";1254,31010000498
2013;Zentrum,Haushaltseinkommen,1087;"80187132455""";1216,52180029784
2013;Zentrum-Ost,Haushaltseinkommen,1466;"06678370279""";1825,95133532185
2013;Zentrum-Suedost,Haushaltseinkommen,1202;"33006688454""";1412,49467084589
2013;Zentrum-Sued,Haushaltseinkommen,1544;"51700734588""";2076,94442784967
2013;Zentrum-West,Haushaltseinkommen,1530;"99167808915""";2152,00746976083
2013;Zentrum-Nordwest,Haushaltseinkommen,2131;"48217842793""";2161,32254012688
2013;Zentrum-Nord,Haushaltseinkommen,1471;"54674208864""";1919,68101645621
2013;Schoenefeld-Abtnaundorf,Haushaltseinkommen,1096;"48429727869""";1464,78821075254
2013;Schoenefeld-Ost,Haushaltseinkommen,1342;"257274574""";1326,43145745597
2013;Mockau-Sued,Haushaltseinkommen,1269;"23100664899""";1444,90752618516
2013;Mockau-Nord,Haushaltseinkommen,1236;"96250899009""";1425,09257500757
2013;Thekla,Haushaltseinkommen,1370;"00408535438""";1886,96508254077
2013;Plaussig-Portitz,Haushaltseinkommen,1900;"90504995806""";2644,88320578223
2013;Neustadt-Neuschoenefeld;Haushaltseinkommen;1159,88087970223
2013;Volkmarsdorf;Haushaltseinkommen;1121,38585907255
2013;Anger-Crottendorf;Haushaltseinkommen;1235,12672932507
2013;Sellerhausen-Stuenz;Haushaltseinkommen;1494,83198637304
2013;Paunsdorf;Haushaltseinkommen;1339,13701032442
2013;Heiterblick;Haushaltseinkommen;2018,66918375491
2013;Moelkau;Haushaltseinkommen;1595,43761765613
2013;Engelsdorf;Haushaltseinkommen;1837,03628511558
2013;Baalsdorf;Haushaltseinkommen;2202,69063269559
2013;Althen-Kleinpoesna;Haushaltseinkommen;2100,1893439382
2013;Reudnitz-Thonberg;Haushaltseinkommen;1588,91695221351
2013;Stoetteritz;Haushaltseinkommen;1351,66730336069
2013;Probstheida;Haushaltseinkommen;2182,85682582371
2013;Meusdorf;Haushaltseinkommen;1386,93632496988
2013;Liebertwolkwitz;Haushaltseinkommen;1644,59464247359
2013;Holzhausen;Haushaltseinkommen;1478,2650851583
2013;Suedvorstadt;Haushaltseinkommen;1811,27514183881
2013;Connewitz;Haushaltseinkommen;1599,35107083485
2013;Marienbrunn;Haushaltseinkommen;1670,90505283543
2013;Loessnig;Haushaltseinkommen;1618,30957526657
2013;Doelitz-Doesen;Haushaltseinkommen;1808,01752345171
2013;Schleussig;Haushaltseinkommen;2278,17636879203
2013;Plagwitz;Haushaltseinkommen;1265,80801193247
2013;Kleinzschocher;Haushaltseinkommen;1328,76550730691
2013;Grosszschocher;Haushaltseinkommen;1692,18242556473
2013;Knautkleeberg-Knauthain;Haushaltseinkommen;1789,10799517994
2013;Hartmannsdorf-Knautnaundorf;Haushaltseinkommen;1788,2423559482
2013;Schoenau;Haushaltseinkommen;1724,62442304621
2013;Gruenau-Ost;Haushaltseinkommen;1255,80298127024
2013;Gruenau-Mitte;Haushaltseinkommen;1227,00172304344
2013;Gruenau-Siedlung;Haushaltseinkommen;1885,65542144757
2013;Lausen-Gruenau;Haushaltseinkommen;1586,60774355979
2013;Gruenau-Nord;Haushaltseinkommen;1171,81884983344
2013;Miltitz;Haushaltseinkommen;1673,08349676634
2013;Lindenau;Haushaltseinkommen;1192,11164616649
2013;Altlindenau;Haushaltseinkommen;1329,10373854041
2013;Neulindenau;Haushaltseinkommen;1095,64238370805
2013;Leutzsch;Haushaltseinkommen;1693,95891102654
2013;Boehlitz-Ehrenberg;Haushaltseinkommen;2004,92132477305
2013;Burghausen-Rueckmarsdorf;Haushaltseinkommen;2075,46937047654
2013;Moeckern;Haushaltseinkommen;1514,41963844588
2013;Wahren;Haushaltseinkommen;1589,18463081644
2013;Luetzschena-Stahmeln;Haushaltseinkommen;2300,53469607354
2013;Lindenthal;Haushaltseinkommen;2279,76758751623
2013;Gohlis-Sued;Haushaltseinkommen;1938,78357864103
2013;Gohlis-Mitte;Haushaltseinkommen;2113,41067083734
2013;Gohlis-Nord;Haushaltseinkommen;1524,52593180408
2013;Eutritzsch;Haushaltseinkommen;1469,84754599768
2013;Seehausen;Haushaltseinkommen;2022,45816736575
2013;Wiederitzsch;Haushaltseinkommen;2363,57243061747
2013;Mitte;Haushaltseinkommen;1597,05974062865
2013;Nordost;Haushaltseinkommen;1491,57963589401
2013;Ost;Haushaltseinkommen;1388,56683073784
2013;Suedost;Haushaltseinkommen;1497,28098069229
2013;Sued;Haushaltseinkommen;1612,32088559364
2013;Suedwest;Haushaltseinkommen;1520,31546550113
2013;West;Haushaltseinkommen;1334,99548165629
2013;Alt-West;Haushaltseinkommen;1497,36143568816
2013;Nordwest;Haushaltseinkommen;1695,47569330616
2013;Nord;Haushaltseinkommen;1810,25693217699
2013;Stadt Leipzig;Haushaltseinkommen;1549,23950166622
2015;Zentrum;Persoenliches Einkommen;1195,05979980502
2015;Zentrum-Ost;Persoenliches Einkommen;1558,46446293875
2015;Zentrum-Suedost;Persoenliches Einkommen;1179,72791979858
2015;Zentrum-Sued;Persoenliches Einkommen;1537,93512629354
2015;Zentrum-West;Persoenliches Einkommen;1583,09343883357
2015;Zentrum-Nordwest;Persoenliches Einkommen;1807,86573966689
2015;Zentrum-Nord;Persoenliches Einkommen;1557,63231593991
2015;Schoenefeld-Abtnaundorf;Persoenliches Einkommen;1204,97758710458
2015;Schoenefeld-Ost;Persoenliches Einkommen;1121,43398129717
2015;Mockau-Sued;Persoenliches Einkommen;1326,95009276871
2015;Mockau-Nord;Persoenliches Einkommen;1155,2437662091
2015;Thekla;Persoenliches Einkommen;1205,32315560565
2015;Plaussig-Portitz;Persoenliches Einkommen;1459,96324414859
2015;Neustadt-Neuschoenefeld;Persoenliches Einkommen;947,360843637112
2015;Volkmarsdorf;Persoenliches Einkommen;924,338287348429
2015;Anger-Crottendorf;Persoenliches Einkommen;1320,67706251846
2015;Sellerhausen-Stuenz;Persoenliches Einkommen;1211,96733997694
2015;Paunsdorf;Persoenliches Einkommen;1204,22404554281
2015;Heiterblick;Persoenliches Einkommen;1400,26492239537
2015;Moelkau;Persoenliches Einkommen;1479,59104909432
2015;Engelsdorf;Persoenliches Einkommen;1496,44038513096
2015;Baalsdorf;Persoenliches Einkommen;1810,05333331238
2015;Althen-Kleinpoesna;Persoenliches Einkommen;1578,78731880601
2015;Reudnitz-Thonberg;Persoenliches Einkommen;1196,28809748242
2015;Stoetteritz;Persoenliches Einkommen;1523,60704838855
2015;Probstheida;Persoenliches Einkommen;1496,00157591398
2015;Meusdorf;Persoenliches Einkommen;1180,92415912393
2015;Liebertwolkwitz;Persoenliches Einkommen;1372,95561414884
2015;Holzhausen;Persoenliches Einkommen;1442,10168264056
2015;Suedvorstadt;Persoenliches Einkommen;1549,69013456476
2015;Connewitz;Persoenliches Einkommen;1302,1403693914
2015;Marienbrunn;Persoenliches Einkommen;1483,60343189898
2015;Loessnig;Persoenliches Einkommen;1108,65184686779
2015;Doelitz-Doesen,Persoenliches Einkommen,1149;"80949230727""";1407,49912911147
2015;Schleussig,Persoenliches Einkommen,1164;"56017966956""";1684,48133255746
2015;Plagwitz,Persoenliches Einkommen,1225;"02248661079""";1423,2728145209
2015;Kleinzschocher,Persoenliches Einkommen,960;"714072472308""";1473,03984712155
2015;Grosszschocher,Persoenliches Einkommen,1095;"87639447864""";1436,3651771435
2015;Knautkleeberg-Knauthain,Persoenliches Einkommen,1150;"6422073346""";1561,96637182497
2015;Hartmannsdorf-Knautnaundorf,Persoenliches Einkommen,1097;"4459160057""";1560,26836353576
2015;Schoenau,Persoenliches Einkommen,1044;"99386350261""";1391,70069053101
2015;Gruenau-Ost,Persoenliches Einkommen,1063;"50109594185""";1150,6893535596
2015;Gruenau-Mitte,Persoenliches Einkommen,928;"989237574649""";1331,17178240257
2015;Gruenau-Siedlung,Persoenliches Einkommen,1198;"66100062977""";1651,74733113122
2015;Lausen-Gruenau,Persoenliches Einkommen,976;"025968696877""";1380,97460535894
2015;Gruenau-Nord,Persoenliches Einkommen,895;"112599069049""";1279,71040869068
2015;Miltitz,Persoenliches Einkommen,1181;"71001321242""";1550,99297336722
2015;Lindenau,Persoenliches Einkommen,893;"739774758912""";1137,32126233122
2015;Altlindenau,Persoenliches Einkommen,1025;"93236873067""";1420,20284987721
2015;Neulindenau,Persoenliches Einkommen,1077;"43033609746""";1288,21677524233
2015;Leutzsch,Persoenliches Einkommen,1133;"13320492051""";1498,2441177064
2015;Boehlitz-Ehrenberg,Persoenliches Einkommen,1080;"37539931653""";1656,86571420307
2015;Burghausen-Rueckmarsdorf,Persoenliches Einkommen,1153;"49380836073""";1617,83574392671
2015;Moeckern,Persoenliches Einkommen,994;"130490681782""";1425,58952352027
2015;Wahren,Persoenliches Einkommen,1111;"27972870703""";1486,48365349333
2015;Luetzschena-Stahmeln,Persoenliches Einkommen,1107;"99210573493""";1462,48748849787
2015;Lindenthal,Persoenliches Einkommen,1147;"21505221923""";1658,4335221951
2015;Gohlis-Sued,Persoenliches Einkommen,1164;"01892795164""";1804,09930717605
2015;Gohlis-Mitte,Persoenliches Einkommen,1240;"11222698576""";1724,8258729023
2015;Gohlis-Nord,Persoenliches Einkommen,1158;"22687294858""";1412,91136295929
