,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
117,Gruenau-Siedlung,Haushaltseinkommen,2011,"1835,78018343409"
118,Lausen-Gruenau,Haushaltseinkommen,2011,"1345,7974299631"
119,Gruenau-Nord,Haushaltseinkommen,2011,"1198,08518813836"
120,Miltitz,Haushaltseinkommen,2011,"1783,88374181074"
121,Lindenau,Haushaltseinkommen,2011,"1069,5424105696"
122,Altlindenau,Haushaltseinkommen,2011,"1297,51156174441"
123,Neulindenau,Haushaltseinkommen,2011,"1288,69477487803"
124,Leutzsch,Haushaltseinkommen,2011,"1466,629812917"
125,Boehlitz-Ehrenberg,Haushaltseinkommen,2011,"1375,83737643726"
126,Burghausen-Rueckmarsdorf,Haushaltseinkommen,2011,"1911,19921259334"
127,Moeckern,Haushaltseinkommen,2011,"1333,78673348031"
128,Wahren,Haushaltseinkommen,2011,"1348,30224824004"
129,Luetzschena-Stahmeln,Haushaltseinkommen,2011,"1824,2078382524"
130,Lindenthal,Haushaltseinkommen,2011,"1654,99643093032"
131,Gohlis-Sued,Haushaltseinkommen,2011,"1760,77627932225"
132,Gohlis-Mitte,Haushaltseinkommen,2011,"1789,85804262486"
133,Gohlis-Nord,Haushaltseinkommen,2011,"1377,31397346212"
134,Eutritzsch,Haushaltseinkommen,2011,"1382,84033117857"
135,Seehausen,Haushaltseinkommen,2011,"1849,51649078219"
136,Wiederitzsch,Haushaltseinkommen,2011,"1816,99664116039"
137,Mitte,Haushaltseinkommen,2011,"1571,98432698646"
138,Nordost,Haushaltseinkommen,2011,"1287,00066983994"
139,Ost,Haushaltseinkommen,2011,"1360,5031041919"
140,Suedost,Haushaltseinkommen,2011,"1358,66622109542"
141,Sued,Haushaltseinkommen,2011,"1463,90998802506"
142,Suedwest,Haushaltseinkommen,2011,"1411,71421186975"
143,West,Haushaltseinkommen,2011,"1296,9710071978"
144,Alt-West,Haushaltseinkommen,2011,"1400,41025946266"
145,Nordwest,Haushaltseinkommen,2011,"1352,94354483837"
146,Nord,Haushaltseinkommen,2011,"1671,65774316951"
147,Stadt Leipzig,Haushaltseinkommen,2011,1414
148,Zentrum,Persoenliches Einkommen,2013,"1387,20640125823"
149,Zentrum-Ost,Persoenliches Einkommen,2013,"1466,09414682086"
150,Zentrum-Suedost,Persoenliches Einkommen,2013,"1036,31881766262"
151,Zentrum-Sued,Persoenliches Einkommen,2013,"1198,15650717198"
152,Zentrum-West,Persoenliches Einkommen,2013,"1441,63236840073"
153,Zentrum-Nordwest,Persoenliches Einkommen,2013,"1557,75353350179"
154,Zentrum-Nord,Persoenliches Einkommen,2013,"1293,83514847689"
155,Schoenefeld-Abtnaundorf,Persoenliches Einkommen,2013,"1095,27904515581"
156,Schoenefeld-Ost,Persoenliches Einkommen,2013,"1054,69096396352"
157,Mockau-Sued,Persoenliches Einkommen,2013,"1127,460838546"
158,Mockau-Nord,Persoenliches Einkommen,2013,"1065,65108405532"
159,Thekla,Persoenliches Einkommen,2013,"1107,4890038051"
160,Plaussig-Portitz,Persoenliches Einkommen,2013,"1238,79973466992"
161,Neustadt-Neuschoenefeld,Persoenliches Einkommen,2013,"892,772742117413"
